hour,day_of_week,month,ride_requests,temperature,humidity,weather_condition,holiday
16,Tuesday,May,182,20,33,Rain,1
4,Friday,January,144,26,86,Snow,1
18,Tuesday,February,93,21,71,Clear,0
2,Friday,November,61,31,84,Cloudy,0
8,Thursday,September,106,18,73,Cloudy,1
15,Wednesday,November,192,33,39,Snow,1
15,Sunday,June,89,33,38,Clear,0
23,Saturday,May,79,27,50,Rain,0
23,Monday,April,94,27,81,Snow,0
16,Sunday,April,117,32,39,Rain,1
0,Friday,February,97,19,51,Rain,0
10,Monday,August,157,33,47,Snow,0
21,Wednesday,April,143,20,75,Clear,1
10,Sunday,July,170,31,68,Cloudy,1
16,Wednesday,March,71,24,82,Cloudy,1
12,Saturday,February,106,22,70,Snow,1
17,Thursday,July,134,31,72,Snow,0
11,Friday,May,187,31,45,Cloudy,0
13,Tuesday,October,122,26,59,Rain,0
6,Friday,November,182,19,67,Clear,0
8,Sunday,September,159,24,69,Cloudy,0
12,Wednesday,March,62,17,41,Clear,0
23,Thursday,June,172,23,50,Cloudy,0
1,Wednesday,February,113,18,51,Rain,0
15,Tuesday,December,146,17,43,Rain,1
16,Thursday,October,163,34,66,Clear,1
4,Saturday,September,119,15,41,Clear,1
16,Wednesday,November,70,28,38,Cloudy,0
10,Sunday,August,83,25,43,Clear,0
22,Saturday,November,174,25,44,Snow,0
12,Wednesday,September,144,17,85,Snow,0
3,Wednesday,October,106,23,45,Clear,1
12,Sunday,October,118,32,57,Cloudy,1
2,Wednesday,March,92,22,74,Rain,1
7,Wednesday,March,121,27,62,Cloudy,1
7,Friday,September,93,21,66,Rain,1
15,Monday,September,190,23,89,Clear,1
13,Friday,December,176,30,63,Rain,1
0,Wednesday,April,82,23,72,Rain,1
0,Saturday,May,180,28,44,Cloudy,1
1,Monday,July,54,26,51,Snow,1
23,Sunday,October,53,30,54,Clear,1
23,Tuesday,August,58,18,67,Rain,1
19,Tuesday,January,188,22,81,Clear,0
4,Thursday,August,177,26,35,Cloudy,0
22,Monday,October,176,27,63,Rain,0
12,Saturday,September,119,21,35,Cloudy,0
19,Tuesday,November,199,18,68,Clear,1
16,Sunday,November,102,28,50,Rain,0
15,Monday,March,71,23,73,Snow,1
13,Thursday,January,183,30,35,Rain,1
10,Monday,November,117,23,74,Cloudy,1
23,Monday,December,93,27,32,Clear,0
2,Saturday,July,122,15,50,Snow,0
9,Thursday,March,72,21,47,Rain,1
13,Saturday,March,60,34,68,Rain,1
2,Friday,June,141,34,61,Cloudy,1
4,Friday,September,153,17,55,Rain,0
5,Monday,February,151,33,76,Snow,1
10,Tuesday,November,96,30,74,Cloudy,1
7,Saturday,January,164,21,56,Snow,1
15,Monday,June,169,19,51,Clear,0
20,Tuesday,February,60,18,82,Clear,0
9,Tuesday,August,150,19,39,Rain,0
12,Thursday,November,185,34,60,Rain,0
22,Thursday,August,59,32,40,Snow,1
14,Friday,October,80,22,57,Snow,0
13,Sunday,January,145,17,46,Cloudy,0
9,Thursday,September,146,27,70,Snow,1
5,Saturday,December,61,17,65,Cloudy,1
20,Friday,July,167,15,61,Snow,0
13,Wednesday,June,137,28,62,Cloudy,0
16,Friday,November,123,26,78,Rain,1
2,Wednesday,May,81,34,46,Rain,0
5,Saturday,August,74,20,88,Cloudy,0
18,Tuesday,March,87,17,89,Snow,1
0,Thursday,May,79,30,53,Rain,0
8,Saturday,February,71,16,89,Rain,0
18,Tuesday,December,91,15,53,Cloudy,1
8,Tuesday,August,89,19,51,Snow,1
1,Saturday,October,71,21,44,Clear,0
3,Sunday,July,172,34,62,Cloudy,1
18,Friday,October,76,24,55,Snow,0
7,Saturday,October,174,19,69,Cloudy,1
4,Monday,November,85,18,71,Clear,1
14,Sunday,October,136,25,33,Cloudy,1
18,Thursday,December,60,26,68,Cloudy,0
11,Wednesday,June,159,27,44,Cloudy,1
2,Monday,February,116,26,75,Snow,0
17,Sunday,September,124,29,84,Cloudy,0
11,Saturday,February,183,26,86,Clear,0
9,Friday,June,108,17,65,Rain,1
12,Wednesday,October,165,17,42,Rain,1
15,Wednesday,January,99,26,54,Clear,1
21,Monday,December,79,31,44,Cloudy,1
2,Sunday,May,61,21,65,Clear,0
9,Friday,March,76,32,89,Snow,1
6,Wednesday,September,128,22,44,Snow,0
23,Tuesday,August,54,17,33,Snow,0
16,Monday,November,63,27,79,Cloudy,0
20,Wednesday,July,114,16,86,Cloudy,1
6,Sunday,May,197,26,60,Rain,1
22,Monday,March,76,27,68,Clear,1
11,Wednesday,June,171,29,33,Snow,1
14,Saturday,April,143,21,37,Cloudy,1
11,Friday,April,82,34,77,Snow,1
13,Wednesday,March,163,28,30,Clear,1
13,Saturday,April,77,34,70,Rain,1
7,Tuesday,January,102,25,42,Clear,0
2,Wednesday,June,153,24,70,Snow,0
23,Tuesday,February,158,25,50,Clear,1
23,Monday,September,62,26,30,Snow,1
4,Saturday,May,120,34,69,Clear,0
2,Monday,April,185,22,59,Clear,1
15,Saturday,April,64,25,30,Snow,1
8,Sunday,February,54,28,75,Snow,0
6,Thursday,May,140,25,42,Snow,0
23,Sunday,December,149,30,44,Cloudy,1
4,Monday,December,102,26,69,Clear,1
9,Saturday,September,67,15,58,Rain,1
0,Wednesday,May,71,27,73,Rain,1
13,Thursday,September,66,21,66,Snow,1
20,Friday,August,135,33,59,Cloudy,0
5,Thursday,October,86,30,46,Clear,0
8,Tuesday,May,97,20,46,Cloudy,1
15,Tuesday,February,130,29,75,Rain,0
21,Sunday,July,166,15,52,Snow,0
8,Friday,November,103,16,64,Cloudy,0
16,Sunday,May,109,17,76,Snow,0
18,Tuesday,July,149,34,77,Rain,0
23,Sunday,September,194,23,81,Cloudy,0
4,Tuesday,July,158,16,68,Snow,0
5,Thursday,April,108,22,45,Clear,0
6,Friday,January,105,16,75,Cloudy,1
23,Saturday,November,84,33,72,Clear,1
15,Friday,April,77,20,83,Rain,0
23,Saturday,August,100,31,68,Clear,0
11,Saturday,September,131,20,52,Cloudy,1
11,Monday,October,175,15,76,Snow,1
18,Tuesday,May,54,22,52,Snow,1
5,Tuesday,September,95,30,57,Cloudy,1
19,Saturday,February,173,23,60,Clear,0
3,Sunday,April,102,24,74,Clear,0
6,Friday,July,125,16,41,Rain,1
20,Thursday,November,167,23,62,Rain,1
14,Monday,August,72,16,83,Rain,1
11,Friday,April,74,32,75,Rain,0
21,Wednesday,April,87,31,55,Rain,0
2,Sunday,November,98,24,49,Clear,0
2,Tuesday,September,103,25,57,Rain,1
17,Friday,June,171,24,68,Rain,1
1,Saturday,February,134,20,52,Rain,0
22,Monday,November,124,27,79,Snow,1
17,Monday,January,177,20,60,Cloudy,0
20,Friday,January,139,15,80,Snow,1
18,Monday,August,117,24,51,Snow,1
12,Tuesday,February,142,33,39,Snow,1
16,Sunday,March,179,23,77,Snow,0
6,Thursday,November,94,34,79,Snow,1
14,Sunday,August,68,29,88,Clear,0
5,Friday,September,65,32,60,Clear,1
19,Friday,January,95,19,41,Rain,0
8,Sunday,May,75,20,80,Cloudy,0
23,Monday,November,185,28,78,Clear,0
4,Monday,July,151,27,69,Cloudy,0
7,Friday,October,107,22,36,Clear,1
9,Sunday,March,146,25,71,Clear,1
6,Tuesday,January,114,31,34,Cloudy,0
2,Saturday,December,79,25,81,Rain,1
20,Friday,June,87,18,68,Clear,0
1,Saturday,February,162,24,70,Rain,1
8,Friday,October,144,34,61,Rain,0
21,Friday,May,60,23,85,Clear,1
17,Sunday,August,142,21,39,Snow,0
14,Sunday,November,198,29,51,Cloudy,1
8,Thursday,September,157,32,41,Rain,1
17,Thursday,December,90,17,30,Rain,0
11,Wednesday,January,183,19,89,Snow,1
20,Sunday,October,134,31,39,Clear,1
3,Thursday,January,148,16,36,Rain,1
9,Saturday,March,51,30,71,Clear,0
23,Sunday,December,155,18,46,Snow,1
1,Sunday,December,188,28,65,Cloudy,1
4,Tuesday,March,142,17,83,Clear,1
11,Saturday,July,120,17,62,Clear,0
1,Friday,July,123,25,58,Cloudy,1
4,Monday,October,149,28,84,Snow,1
18,Sunday,September,178,32,66,Snow,1
23,Sunday,September,154,23,74,Clear,1
20,Wednesday,February,52,34,87,Snow,0
23,Saturday,November,136,21,73,Clear,0
16,Monday,August,136,21,73,Rain,0
10,Thursday,May,61,24,62,Rain,0
14,Sunday,November,181,26,88,Rain,1
14,Monday,October,184,27,89,Cloudy,0
2,Thursday,November,50,29,60,Cloudy,1
10,Saturday,February,50,18,89,Rain,0
12,Thursday,November,115,24,89,Rain,1
2,Thursday,September,124,15,75,Clear,0
19,Thursday,April,67,24,57,Snow,0
9,Sunday,June,92,33,73,Snow,1
3,Thursday,August,97,24,57,Clear,1
22,Tuesday,March,99,33,62,Rain,0
9,Sunday,October,165,19,87,Clear,0
6,Thursday,December,168,26,75,Snow,0
13,Tuesday,March,65,32,56,Snow,0
3,Monday,August,115,20,43,Rain,0
8,Friday,April,161,34,51,Clear,1
17,Friday,July,189,24,75,Clear,0
9,Tuesday,August,122,25,68,Snow,1
5,Wednesday,May,197,32,60,Snow,0
14,Friday,September,51,31,35,Clear,0
21,Friday,February,191,32,32,Rain,1
15,Monday,February,120,20,61,Rain,1
5,Thursday,May,146,34,65,Snow,0
15,Monday,December,105,31,36,Clear,0
7,Sunday,November,168,28,57,Snow,1
7,Tuesday,September,143,18,60,Cloudy,1
3,Sunday,August,86,17,48,Cloudy,1
22,Wednesday,September,173,18,60,Cloudy,0
0,Thursday,December,79,24,88,Snow,1
2,Sunday,May,64,15,86,Snow,0
9,Saturday,July,149,24,51,Clear,1
4,Wednesday,March,83,33,88,Rain,1
5,Thursday,May,155,28,87,Cloudy,1
3,Sunday,November,149,25,84,Rain,1
23,Thursday,October,84,22,73,Snow,0
18,Sunday,September,97,34,48,Rain,1
19,Thursday,June,113,24,86,Rain,0
19,Sunday,November,142,18,63,Cloudy,1
21,Wednesday,June,140,18,77,Snow,1
18,Thursday,September,174,29,32,Rain,1
19,Monday,November,103,31,61,Snow,1
19,Saturday,October,51,16,52,Snow,0
4,Monday,July,120,18,84,Cloudy,0
15,Monday,April,139,22,81,Clear,0
20,Saturday,October,53,25,89,Rain,1
19,Sunday,November,131,17,53,Snow,1
17,Monday,August,151,34,82,Clear,0
10,Wednesday,August,89,21,52,Clear,1
22,Thursday,July,103,25,75,Rain,0
8,Thursday,April,151,29,57,Clear,1
21,Friday,October,117,28,52,Cloudy,0
23,Friday,June,130,23,48,Clear,1
1,Tuesday,July,100,16,64,Rain,1
16,Friday,December,109,33,73,Rain,0
5,Saturday,January,100,32,67,Snow,0
7,Saturday,October,117,30,52,Clear,1
19,Sunday,March,187,32,81,Clear,0
23,Tuesday,January,67,21,81,Cloudy,1
11,Saturday,December,92,20,43,Snow,0
13,Friday,September,154,17,64,Cloudy,1
10,Wednesday,September,146,24,69,Cloudy,0
17,Sunday,August,114,18,61,Cloudy,1
8,Thursday,February,84,16,43,Clear,0
18,Monday,July,176,18,48,Clear,0
21,Thursday,March,106,19,63,Clear,0
15,Monday,March,197,31,82,Rain,1
5,Wednesday,December,159,23,62,Rain,1
2,Monday,July,61,22,49,Clear,1
2,Wednesday,November,165,27,48,Rain,1
1,Thursday,February,54,29,35,Cloudy,0
4,Saturday,June,91,25,65,Cloudy,0
18,Friday,January,193,31,63,Clear,0
17,Friday,February,141,22,41,Cloudy,0
23,Thursday,December,60,26,41,Clear,0
18,Saturday,January,145,17,44,Snow,1
23,Wednesday,May,82,21,39,Clear,1
5,Thursday,April,167,25,31,Snow,1
2,Tuesday,July,128,26,38,Clear,0
2,Friday,October,187,25,62,Clear,0
21,Thursday,June,64,33,61,Clear,1
23,Sunday,October,169,25,41,Rain,0
16,Friday,April,176,22,54,Rain,1
18,Tuesday,July,163,16,84,Clear,0
5,Monday,March,110,21,73,Rain,0
2,Friday,March,108,27,47,Rain,0
7,Wednesday,March,123,29,52,Rain,0
1,Sunday,September,96,20,80,Rain,1
0,Saturday,August,99,16,78,Snow,1
11,Wednesday,August,112,17,81,Rain,0
13,Friday,November,135,28,30,Clear,1
5,Tuesday,July,97,20,49,Rain,0
0,Monday,August,147,16,72,Cloudy,1
15,Thursday,February,153,28,46,Rain,1
22,Wednesday,March,133,33,70,Snow,1
23,Friday,December,176,31,46,Cloudy,1
15,Tuesday,April,163,20,83,Rain,1
23,Tuesday,November,78,34,36,Rain,0
9,Tuesday,September,174,31,75,Cloudy,1
0,Monday,December,198,33,49,Clear,1
19,Monday,November,50,33,58,Clear,1
12,Friday,May,187,20,89,Clear,0
4,Wednesday,August,125,22,50,Cloudy,1
2,Friday,March,97,32,69,Clear,1
13,Thursday,November,107,24,72,Snow,1
12,Wednesday,January,101,25,81,Clear,1
5,Thursday,July,186,24,57,Snow,0
22,Friday,May,53,17,33,Snow,0
19,Tuesday,February,103,15,61,Clear,0
7,Thursday,April,89,25,57,Cloudy,0
16,Friday,May,173,25,57,Clear,0
9,Monday,May,198,15,57,Cloudy,0
4,Monday,March,167,24,39,Snow,0
10,Saturday,January,134,21,85,Clear,0
8,Saturday,January,165,15,54,Rain,0
21,Sunday,November,194,33,42,Clear,1
19,Sunday,November,197,23,72,Snow,0
13,Thursday,October,127,29,82,Cloudy,0
0,Saturday,March,190,23,88,Snow,0
13,Wednesday,September,106,17,71,Rain,0
14,Thursday,March,120,26,77,Cloudy,1
18,Wednesday,March,122,23,41,Clear,1
15,Wednesday,May,134,22,40,Rain,0
6,Monday,March,137,18,33,Snow,1
22,Tuesday,April,118,23,84,Rain,0
15,Tuesday,February,187,32,73,Clear,0
20,Monday,July,137,17,48,Clear,1
19,Saturday,January,55,26,66,Cloudy,1
6,Monday,October,86,18,51,Snow,1
4,Sunday,April,92,24,69,Clear,1
18,Wednesday,November,87,19,76,Rain,1
11,Saturday,February,76,34,76,Cloudy,0
23,Friday,September,171,27,54,Snow,1
7,Thursday,August,110,30,88,Cloudy,1
1,Monday,December,161,21,85,Rain,0
6,Tuesday,May,110,30,80,Rain,1
5,Saturday,May,146,20,79,Cloudy,0
21,Sunday,August,157,28,84,Rain,1
9,Friday,January,197,17,46,Snow,1
16,Monday,January,91,28,33,Cloudy,1
18,Monday,December,153,17,50,Rain,0
4,Wednesday,June,102,30,71,Snow,1
20,Thursday,January,66,23,77,Snow,1
0,Monday,January,167,34,53,Cloudy,1
10,Tuesday,March,115,34,87,Clear,1
1,Saturday,July,81,27,56,Cloudy,1
8,Saturday,November,53,28,49,Snow,0
3,Sunday,January,133,18,56,Rain,1
17,Wednesday,July,144,20,52,Rain,1
6,Wednesday,December,106,22,61,Rain,0
12,Tuesday,May,141,33,52,Clear,1
13,Monday,May,198,22,37,Cloudy,0
20,Sunday,May,142,31,34,Clear,1
7,Wednesday,July,119,15,58,Clear,1
8,Wednesday,November,154,24,59,Rain,1
23,Monday,March,62,27,54,Rain,1
5,Monday,August,54,23,84,Rain,1
9,Friday,July,186,18,56,Cloudy,0
13,Wednesday,February,93,28,84,Cloudy,0
1,Sunday,June,170,29,83,Snow,0
6,Saturday,December,83,15,83,Cloudy,1
7,Friday,July,124,20,79,Clear,1
